cor,Int,BCue,CCue,subs,corRehB,corRehC
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,1,FALSE,TRUE
TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,TRUE,TRUE,FALSE,1,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,1,FALSE,TRUE
FALSE,TRUE,TRUE,FALSE,1,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE
FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,TRUE,TRUE,FALSE,1,FALSE,TRUE
FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE
FALSE,TRUE,TRUE,TRUE,1,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,1,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,1,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,1,FALSE,TRUE
TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE
TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
FALSE,TRUE,TRUE,TRUE,1,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,1,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,1,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,1,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,1,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,1,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,1,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
FALSE,FALSE,TRUE,FALSE,1,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,1,FALSE,TRUE
TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,1,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,1,FALSE,TRUE
FALSE,FALSE,TRUE,FALSE,1,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,TRUE,TRUE,FALSE,1,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,1,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,1,FALSE,TRUE
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,1,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,1,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,1,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,1,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,1,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,1,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE
FALSE,TRUE,TRUE,FALSE,2,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,2,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,2,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,2,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,2,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,2,FALSE,TRUE
FALSE,TRUE,FALSE,FALSE,2,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE
FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,2,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,2,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,2,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,2,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,2,FALSE,TRUE
TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,2,FALSE,TRUE
FALSE,TRUE,FALSE,FALSE,2,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,2,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,2,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,2,FALSE,TRUE
TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,2,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,2,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,2,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,2,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,2,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,2,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,2,FALSE,FALSE
FALSE,TRUE,FALSE,TRUE,2,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,2,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,2,FALSE,TRUE
FALSE,FALSE,TRUE,FALSE,2,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,2,FALSE,TRUE
TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,2,FALSE,TRUE
FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,2,TRUE,FALSE
FALSE,FALSE,TRUE,FALSE,2,TRUE,FALSE
FALSE,TRUE,TRUE,TRUE,2,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,2,FALSE,TRUE
FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,2,FALSE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,3,FALSE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,3,FALSE,TRUE
FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,3,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,3,FALSE,TRUE
FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE
FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,3,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,3,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,3,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,3,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,3,FALSE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,3,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,3,FALSE,FALSE
FALSE,TRUE,TRUE,FALSE,3,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,3,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,3,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,3,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,3,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,3,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE
FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,3,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,3,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,3,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,3,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,3,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,4,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,4,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,4,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,4,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
FALSE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,4,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,4,FALSE,TRUE
TRUE,FALSE,TRUE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,4,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,4,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,4,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,4,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,4,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,5,FALSE,TRUE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,5,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,5,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,5,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
FALSE,TRUE,TRUE,FALSE,5,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,5,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,5,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,5,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,5,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,5,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,5,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,5,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,5,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,5,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,5,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
FALSE,TRUE,FALSE,TRUE,5,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,5,FALSE,TRUE
FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,5,FALSE,TRUE
FALSE,TRUE,FALSE,TRUE,5,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,5,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE
TRUE,FALSE,TRUE,FALSE,5,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,5,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,5,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,5,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,5,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,5,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,5,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,6,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE,6,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,6,TRUE,TRUE
TRUE,TRUE,FALSE,TRUE,6,TRUE,FALSE
FALSE,TRUE,TRUE,TRUE,6,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,6,FALSE,TRUE
TRUE,TRUE,TRUE,FALSE,6,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE,6,TRUE,TRUE
FALSE,TRUE,TRUE,FALSE,6,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,6,TRUE,TRUE
FALSE,TRUE,FALSE,FALSE,6,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,6,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,6,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE,6,FALSE,TRUE
TRUE,FALSE,FALSE,FALSE,6,TRUE,FALSE
TRUE,TRUE,FALSE,TRUE,6,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE,6,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,6,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,6,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE,6,FALSE,TRUE
TRUE,FALSE,FALSE,FALSE,6,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,6,TRUE,TRUE
FALSE,TRUE,FALSE,TRUE,6,TRUE,TRUE
FALSE,TRUE,TRUE,TRUE,6,TRUE,TRUE
